[2025-12-02 16:38:41] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 16:38:43] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-02 16:38:50] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-02 16:38:53] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 16:38:59] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 16:39:00] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 16:46:21] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 18:02:02] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 18:02:11] Request URI: /public/index.php/api/consultar-dni | Processed Path: /api/consultar-dni
[2025-12-02 18:03:35] Request URI: /public/index.php/api/consultar-dni | Processed Path: /api/consultar-dni
[2025-12-02 19:23:30] Request URI: /public/index.php/api/consultar-dni | Processed Path: /api/consultar-dni
[2025-12-02 19:23:32] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 19:23:36] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-02 19:23:41] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 19:23:44] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:24:04] Request URI: /public/index.php/api/consultar-dni | Processed Path: /api/consultar-dni
[2025-12-02 19:24:26] Request URI: /public/index.php/api/consultar-dni | Processed Path: /api/consultar-dni
[2025-12-02 19:24:30] Request URI: /public/index.php/logout | Processed Path: /logout
[2025-12-02 19:24:30] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-02 19:24:37] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-02 19:24:37] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-02 19:32:28] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 19:33:26] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 19:35:13] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 19:35:18] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:35:20] Request URI: /public/index.php/logout | Processed Path: /logout
[2025-12-02 19:35:20] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-02 19:35:24] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-02 19:35:29] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-02 19:35:29] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-02 19:35:44] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 19:35:47] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:40:53] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:43:17] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:44:13] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:45:04] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:45:55] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:46:12] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:50:22] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:50:47] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:54:55] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:55:15] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:55:31] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:56:05] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:56:27] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:56:41] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:57:31] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:58:05] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:58:21] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:58:36] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 19:59:43] Request URI: /public/index.php/api/consultar-dni | Processed Path: /api/consultar-dni
[2025-12-02 19:59:44] Request URI: /public/index.php/api/consultar-dni | Processed Path: /api/consultar-dni
[2025-12-02 19:59:59] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 20:00:08] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-02 20:00:13] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:00:20] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 20:00:33] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:00:36] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:00:57] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:02:02] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:02:14] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 20:02:17] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-02 20:02:41] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 20:02:45] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-02 20:02:47] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:20:28] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:20:40] Request URI: /public/index.php/logout | Processed Path: /logout
[2025-12-02 20:20:40] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-02 20:20:44] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-02 20:20:44] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-02 20:20:49] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:23:43] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:23:44] Request URI: /public/index.php/img/logo.png | Processed Path: /img/logo.png
[2025-12-02 20:24:11] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:24:13] Request URI: /public/index.php/img/logo.png | Processed Path: /img/logo.png
[2025-12-02 20:24:37] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:24:39] Request URI: /public/index.php/img/logo.png | Processed Path: /img/logo.png
[2025-12-02 20:24:58] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:25:00] Request URI: /public/index.php/logo | Processed Path: /logo
[2025-12-02 20:25:19] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:25:21] Request URI: /public/index.php/logo | Processed Path: /logo
[2025-12-02 20:25:59] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:26:00] Request URI: /public/index.php/img/logo.png | Processed Path: /img/logo.png
[2025-12-02 20:26:10] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:26:11] Request URI: /public/index.php/img/logo.png | Processed Path: /img/logo.png
[2025-12-02 20:38:16] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-02 20:40:32] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 20:41:52] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 20:42:44] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 20:42:48] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 20:42:49] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 20:43:16] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 20:43:19] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 20:43:37] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-02 20:56:36] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-03 22:13:30] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-03 22:13:30] Request URI: /public/index.php/logout | Processed Path: /logout
[2025-12-03 22:13:30] Request URI: /public/index.php/logout | Processed Path: /logout
[2025-12-03 22:13:31] Request URI: /public/index.php/logout | Processed Path: /logout
[2025-12-03 22:13:31] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-03 22:13:37] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-03 22:13:37] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-03 22:13:44] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-03 22:14:13] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-03 22:14:22] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-03 22:14:52] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-03 22:14:57] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-03 22:15:01] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-03 22:15:03] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 03:36:09] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-06 03:36:14] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:36:25] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:36:41] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:41:04] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:41:36] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:42:26] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:43:26] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:44:05] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 03:44:21] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:46:01] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:46:12] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:46:17] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:46:32] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 03:46:37] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-06 03:46:39] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-06 03:46:40] Request URI: /public/index.php/logout | Processed Path: /logout
[2025-12-06 03:46:40] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-06 03:46:46] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-06 03:46:46] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 03:46:50] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-06 03:47:00] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-06 03:47:25] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-06 03:49:46] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 03:49:49] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:53:52] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-06 03:54:01] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:54:13] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:54:19] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-06 03:54:32] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 03:54:46] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:00:05] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:00:39] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:01:09] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:01:38] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-06 04:03:00] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-06 04:03:03] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 04:03:05] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:03:32] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:03:57] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:05:17] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:05:25] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-06 04:05:26] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:05:43] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:05:52] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:06:32] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 04:10:37] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:10:58] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-06 04:11:00] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-06 04:11:16] Request URI: /public/index.php/api/consultar-dni | Processed Path: /api/consultar-dni
[2025-12-06 04:11:24] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:23:05] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 04:23:09] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-06 04:23:11] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-06 04:23:12] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:30:07] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 04:30:09] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-06 04:30:10] Request URI: /public/index.php/vehiculos | Processed Path: /vehiculos
[2025-12-06 04:30:36] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-06 04:30:39] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 04:30:44] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:31:03] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 04:31:28] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-06 04:31:30] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-06 04:31:35] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:32:09] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:32:41] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-06 04:32:51] Request URI: /public/index.php/logout | Processed Path: /logout
[2025-12-06 04:32:51] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-07 01:12:43] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-08 01:01:57] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-08 01:01:59] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-08 01:02:00] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-08 01:02:01] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-08 01:02:04] Request URI: /public/index.php/login | Processed Path: /login
[2025-12-08 01:02:05] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-08 01:02:13] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 01:02:16] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-08 01:02:23] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 01:02:33] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 01:02:47] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 01:02:56] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 01:02:58] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-08 01:03:02] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-08 01:03:11] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 01:03:15] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-08 01:03:18] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-08 01:03:26] Request URI: /public/index.php/reportes | Processed Path: /reportes
[2025-12-08 01:03:32] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-08 01:08:50] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 01:14:12] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 01:15:32] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 01:15:45] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-08 01:15:48] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-08 01:15:50] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 20:58:02] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 20:58:04] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 20:58:07] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:58:14] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:58:20] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:58:30] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:58:34] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:58:39] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:58:42] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:58:50] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:58:58] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:59:01] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:59:04] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:59:04] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:59:06] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:59:10] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:59:11] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:59:18] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 20:59:21] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:59:22] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-08 20:59:26] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-08 20:59:30] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-09 13:14:53] Request URI: /public/index.php/dashboard | Processed Path: /dashboard
[2025-12-09 13:14:55] Request URI: /public/index.php/movimientos | Processed Path: /movimientos
[2025-12-09 13:14:59] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-09 13:15:02] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-09 13:15:14] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-09 13:15:17] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-09 13:15:20] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
[2025-12-09 13:15:26] Request URI: /public/index.php/api/buscar | Processed Path: /api/buscar
