[2025-12-14 13:29:45] ReporteController: Session ID: 9uermpa0168iioktdng0ih4f34 | User ID: NULL
[2025-12-14 13:35:10] ReporteController: Session ID: 9uermpa0168iioktdng0ih4f34 | User ID: NULL
[2025-12-14 14:14:49] ReporteController: Session ID: 9uermpa0168iioktdng0ih4f34 | User ID: 5
[2025-12-14 14:15:02] ReporteController: Session ID: 9uermpa0168iioktdng0ih4f34 | User ID: 5
[2025-12-16 16:33:36] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 5
[2025-12-16 16:33:47] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 5
[2025-12-16 17:43:26] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 7
[2025-12-16 17:43:29] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 7
[2025-12-16 17:56:02] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 7
[2025-12-17 00:39:22] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 5
[2025-12-17 11:20:10] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 5
[2025-12-17 11:20:17] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 5
[2025-12-17 11:21:17] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 5
[2025-12-17 11:21:24] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 5
[2025-12-17 17:33:44] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 5
[2025-12-17 17:33:48] ReporteController: Session ID: qfc7flbvjfg498l2gd4337u54c | User ID: 5
[2025-12-17 17:44:29] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 17:44:31] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 17:56:15] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 17:56:17] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 18:25:52] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 18:25:54] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 18:26:09] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 18:26:11] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 18:26:44] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 7
[2025-12-17 23:11:35] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:11:37] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:14:13] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:17:17] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:17:19] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:21:58] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:27:34] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:27:35] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:29:05] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:29:07] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:35:12] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:35:13] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 5
[2025-12-17 23:36:31] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 7
[2025-12-17 23:36:33] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 7
[2025-12-17 23:36:46] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 7
[2025-12-17 23:37:32] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 7
[2025-12-17 23:37:34] ReporteController: Session ID: deolknfneu7nns9mint5rll71k | User ID: 7
